#MACRO
0xD0150000	0xFFFF8080	_	p	vlog2.s	%zs, %ys
0xD0158000	0xFFFF8080	_	p	vlog2.t	%zt, %yt
0x6D800080	0xFF808080	_	p	vmax.p	%zp, %yp, %xp
0x6D808080	0xFF808080	_	p	vmax.q	%zq, %yq, %xq
0x6D800000	0xFF808080	_	p	vmax.s	%zs, %ys, %xs
0x6D808000	0xFF808080	_	p	vmax.t	%zt, %yt, %xt
0xD0500000	0xFFFF0080	_	p	vmfvc	%zs, %2s
0xF3830080	0xFFFFFF80	_	p	vmidt.p	%zm
0xF3838080	0xFFFFFF80	_	p	vmidt.q	%zo
0xF3838000	0xFFFFFF80	_	p	vmidt.t	%zn
0x6D000080	0xFF808080	_	p	vmin.p	%zp, %yp, %xp
0x6D008080	0xFF808080	_	p	vmin.q	%zq, %yq, %xq
0x6D000000	0xFF808080	_	p	vmin.s	%zs, %ys, %xs
0x6D008000	0xFF808080	_	p	vmin.t	%zt, %yt, %xt
0xF3800080	0xFFFF8080	_	p	vmmov.p	%zm, %ym
0xF3808080	0xFFFF8080	_	p	vmmov.q	%zo, %yo
0xF3808000	0xFFFF8080	_	p	vmmov.t	%zn, %yn
0xF0000080	0xFF808080	_	p	vmmul.p	%?%zm, %ym, %xm
0xF0008080	0xFF808080	_	p	vmmul.q	%?%zo, %yo, %xo
0xF0008000	0xFF808080	_	p	vmmul.t	%?%zn, %yn, %xn
0xF3870080	0xFFFFFF80	_	p	vmone.p	%zp
0xF3878080	0xFFFFFF80	_	p	vmone.q	%zq
0xF3878000	0xFFFFFF80	_	p	vmone.t	%zt
0xD0000080	0xFFFF8080	_	p	vmov.p	%zp, %yp
0xD0008080	0xFFFF8080	_	p	vmov.q	%zq, %yq
0xD0000000	0xFFFF8080	_	p	vmov.s	%zs, %ys
0xD0008000	0xFFFF8080	_	p	vmov.t	%zt, %yt
0xF2000080	0xFF808080	_	p	vmscl.p	%zm, %ym, %xs
0xF2008080	0xFF808080	_	p	vmscl.q	%zo, %yo, %xs
0xF2008000	0xFF808080	_	p	vmscl.t	%zn, %yn, %xs
0xD0510000	0xFFFF8000	_	p	vmtvc	%2d, %ys
0x64000080	0xFF808080	_	p	vmul.p	%zp, %yp, %xp
0x64008080	0xFF808080	_	p	vmul.q	%zq, %yq, %xq
0x64000000	0xFF808080	_	p	vmul.s	%zs, %ys, %xs
0x64008000	0xFF808080	_	p	vmul.t	%zt, %yt, %xt
0xF3860080	0xFFFFFF80	_	p	vmzero.p	%zm
0xF3868080	0xFFFFFF80	_	p	vmzero.q	%zo
0xF3868000	0xFFFFFF80	_	p	vmzero.t	%zn
0xD0020080	0xFFFF8080	_	p	vneg.p	%zp, %yp
0xD0028080	0xFFFF8080	_	p	vneg.q	%zq, %yq
0xD0020000	0xFFFF8080	_	p	vneg.s	%zs, %ys
0xD0028000	0xFFFF8080	_	p	vneg.t	%zt, %yt
